Technology,total cost,replay (with survey tools),bruteforce,longjump,interrupt based,time granularity,COOP,obfuscated,LOOP,ret to gadget / payload,control flow bending,ret/go to libc,functional OOP,forward to gadget/payload,indirect attack,data space attack,Data oriented Prog,code injection,microcode related,rowhammer,fault attack,Cost memory,Cost runtime,cost in process,is hardware,exist on shelve,behavior change lv0,behavior change lv1,main issue,reference paper
Cache flush / reset,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,TRUE,FALSE,channel shared,cache can be flushed to 0 value on context switch,flush trigger need to be handle by supervisor,https://www.tldp.org/LDP/khg/HyperNews/get/memory/flush.html
NX bit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE,TRUE,execution validation,executable code need to be in specific memory area,supervisor / programmer have to configure allowed spaces,https://pax.grsecurity.net/docs/noexec.txt
Speculation flush/stop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE,TRUE,channel shared,speculation made may be reset on context switch,flush trigger need to be handle by supervisor / user to avoid side channel,https://github.com/ARM-software/speculation-barrier
ASLR,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,TRUE,channel shared,executable codes are placed on random place in free memory space,,https://pax.grsecurity.net/docs/aslr.txt
Canary (StackGuard),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,FALSE,TRUE,channel shared,an attack may smash the canary and so will be detected,overflow are checked at one time and in one places (huge time & space gap),https://arxiv.org/pdf/1909.05747.pdf
Fonction tagging (HAFIX) ret enable,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,2,TRUE,FALSE,execution validation,a ret can only reach granted functions,"unusable for recursive functions, extern functions (ret to libc)",http://doi.org/10.1145/2744769.2744847
Shadow Stack,2,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRUE,TRUE,channel shared,a copy of sensitive information is made another place,size limited && still accessible,https://dl.acm.org/doi/10.1145/3398327
Return Zipper Stack,3,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,2,0,TRUE,FALSE,channel shared,a hash chain of return address is stored,hash is time consuming,https://arxiv.org/pdf/1902.00888.pdf
Separate control stack,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,TRUE,FALSE,channel shared,control data are moved to a memory place that is not next to data ,current example is not heap compatible,http://portal.acm.org/citation.cfm?doid=1655077.1655083
Intel ENDBRANCH/ Arm BTI,2,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,TRUE,TRUE,execution validation,"jump or call can only target ""landing pad""",longjump (jump to libc) are not covered,https://developer.arm.com/docs/100076/0100/instruction-set-reference/a64-general-instructions/bti
Label Branch,5,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,2,2,FALSE,FALSE,execution validation,branch are labelled and only branch with a defined label can be reached,longjump (jump to libc) are not covered and labels are not unique per branch,https://users.soe.ucsc.edu/~abadi/Papers/cfi-tissec-revised.pdf
Signature (program cookies),5,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,2,2,FALSE,FALSE,execution validation,after a period presence of a cookie in binary is checked ,depending on granularity memory oversize may be huge ,http://doi.org/10.1109/TEST.1988.207880
FSM (Final State Machine,2,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,2,TRUE,FALSE,execution validation,compatibility of flow chart with an FSM is runtime checked,an FSM (hardware is necessary for each code and no interrupt is allowed,https://ieeexplore.ieee.org/document/4052340
Snapshot based,5,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,2,2,TRUE,FALSE,execution validation,a snapshot is made at specific period and memory validity is checked using debug tools,breakpoint and external debug need to be opened,https://ieeexplore.ieee.org/abstract/document/8342128
Pointer Masking / Tagging ,2,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,TRUE,TRUE,channel shared,"pointer are filed with metadata, if not used as predicted -> alarm",,https://www.usenix.org/system/files/conference/atc12/atc12-final39.pdf
Behavioral based (check like antivirus),1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,TRUE,FALSE,execution validation,behavior is checked and if look like attacker behavior -> alarm triggered,unknown / weird implementation of attacks are not covered,https://ieeexplore.ieee.org/document/6684154?reload=true&arnumber=6684154
Branch rule (several rules exists),4,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,2,FALSE,TRUE,execution validation,branching is granted or checked depending on some criteria,,https://developer.arm.com/docs/100076/0100/instruction-set-reference/a64-general-instructions/bti
Caller / Callee CFI,6,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,2,2,2,FALSE,FALSE,execution validation,branching is checked to to be same destination as asked,may need unique identifier for each branch and doesn't support longjump,https://www.ssi.gouv.fr/agence/publication/picon-control-flow-integrity-on-llvm-ir/
Label Memory (HDFI),3,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,2,1,0,TRUE,FALSE,channel shared,memory space are tagged with metadata if behavior not allowed -> alarm,,http://doi.org/10.1109/SP.2016.9
Heuristic feed with program signature (SOM),4,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,2,0,2,TRUE,FALSE,execution validation,exec only if looks to act as predicted and not like an attack,signature feed to SOM is needed,http://doi.org/10.1109/TIFS.2015.2422674
Table,5,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,1,2,FALSE,FALSE,execution validation,a range of address are stored in secure space and jump are only made from this tab,table address leak may lead to arbitrary execution,https://ieeexplore.ieee.org/document/7046672
Code pointer integrity,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,1,TRUE,TRUE,execution validation,validity of pointer is check at runtime,hash/metadata check is time consuming,https://dl.acm.org/doi/10.1145/3129743.3129748
ISR (instruction set randomisation),4,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2,2,TRUE,FALSE,execution validation,instruction set is ciphered with last instruction ,extreme overhead,http://www.sciencedirect.com/science/article/pii/S0167404817300664
Signature for path,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,2,TRUE,FALSE,execution validation,a signature for a branch is given to an external monitor if the branch called didn't behave as predicted -> alarm,a signature need to be created for each branch,http://doi.org/10.1109/24.994926